#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	27369	30370	0.0	-0.012437085602523334
chr1	493475	496476	0.008704030724296328	0.0
chr1	496975	499976	0.0	0.0
chr1	496975	499976	0.0	0.0
chr1	497174	500175	0.0	0.0
chr1	499606	502607	-0.007163549693017672	0.0
chr1	500872	503873	-0.021831770493006237	0.0
chr1	500872	503873	-0.021831770493006237	0.0
chr1	512412	515413	0.0	-0.00047884098543350467
chr1	515251	518252	-0.027800677260411893	0.014522566472796828
chr1	520927	523928	0.0	0.0
chr1	731063	734064	-0.20942603015780906	-0.09535351026531173
chr1	944252	947253	-0.5012031557115945	-0.3987334459755545
chr1	949157	952158	-0.3915650188681407	-0.7241531435742973
chr1	960448	963449	1.55088122471942	1.4126367042601362
chr1	1218292	1221293	-0.4359134767216871	-0.40587484933719614
chr1	1230000	1233001	2.7998200843083274	3.1398510830219863
chr1	1230066	1233067	2.810517917100615	3.173704152799
chr1	1254334	1257335	-0.3621575615060194	-0.4193469936016895
chr1	1261568	1264569	-0.6922871222986342	-0.32979228185916176
chr1	1271836	1274837	3.251231577009238	3.5127081389587667
chr1	1271884	1274885	3.249394135033688	3.518694388725949
chr1	1271884	1274885	3.249394135033688	3.518694388725949
chr1	1293007	1296008	-0.3840760430704446	-0.47424791524477483
chr1	1293817	1296818	-0.40030626100036953	-0.5166327121318378
chr1	1296112	1299113	-0.10897241187498309	-0.39607595256983263
chr1	1296240	1299241	-0.08891753444655909	-0.4010441895128687
chr1	1296264	1299265	-0.08515724492872957	-0.40197573393968794
chr1	1302900	1305901	0.6060961635585385	0.8490361742392502
chr1	1303699	1306700	1.2560310598930808	1.538508454223117
chr1	1303928	1306929	1.4145481952954981	1.8556774997194059
chr1	1305929	1308930	3.445327864360754	4.021749114770674
chr1	1307349	1310350	3.371059071769086	3.448369743252641
chr1	1337421	1340422	-0.26686420293321705	-0.3082242769220128
chr1	1338364	1341365	-0.3486715244660238	-0.39268929860624463
chr1	1353511	1356512	2.0699017923004837	1.3269181142178774
chr1	1373158	1376159	2.6546689973417488	3.095075242684266
chr1	1373158	1376159	2.6546689973417488	3.095075242684266
chr1	1373172	1376173	2.6665848127767298	3.1040617354126847
chr1	1373494	1376495	2.940648567781288	3.3107510681663115
chr1	1389648	1392649	-0.5321260949788813	-0.19786319150251844
chr1	1390715	1393716	-0.5308826088489286	-0.3923356819075552
chr1	1396365	1399366	1.684813319533908	2.316894654601335
chr1	1396365	1399366	1.684813319533908	2.316894654601335
chr1	1396955	1399956	2.63565577285556	3.2665579387179684
chr1	1397324	1400325	3.131715751287614	3.784929002014929
chr1	1397334	1400335	3.141702035841611	3.7989769983102404
chr1	1398519	1401520	3.2600134736383244	3.9597479907006905
chr1	1398519	1401520	3.2600134736383244	3.9597479907006905
chr1	1398526	1401527	3.2485277398888397	3.9468585968248693
chr1	1470764	1473765	2.9862360090158964	3.2854412880601376
