#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6612856	6614607	-0.5965297016854144	-0.23406246689067806
chr1	14922129	14923880	0.8442532552535283	0.3109688831736484
chr1	23800651	23802402	0.49474303237887357	0.8350845330762772
chr1	45340204	45341955	0.9852788173047465	1.127000264262522
chr1	55215611	55217362	0.5031131622864737	0.554928274699629
chr1	87127764	87129515	0.7427286239603775	0.9335383321735365
chr1	113758312	113760063	-0.0010865513252475997	0.18171285979831955
chr1	113760137	113761888	0.26085500745676876	0.6217906611989422
chr1	146957858	146959609	0.009035006307172364	0.03983528662822002
chr1	149830669	149832420	0.0	0.0
chr1	153567004	153568755	2.0454614686506196	1.4357831157899366
chr1	155983854	155985605	1.4360865668149665	1.5972179899802954
chr1	160126395	160128146	1.4042761067049463	1.2103896947608195
chr1	160284480	160286231	0.2771200580912818	-0.026585135288656928
chr1	161723900	161725651	0.6318457119969553	0.31320663393454873
chr1	171266995	171268746	0.9899367315382257	0.4575103412858463
chr1	184566398	184568149	0.6028293256094136	0.1828534848609858
chr1	201737316	201739067	1.9178405669705691	1.7998901917215406
chr1	201737867	201739618	1.6319451403376775	1.7072887584047955
chr1	201886679	201888430	0.8034492598016634	0.657827430986944
chr1	245152494	245154245	0.8991883401207221	0.8947643841558834
chr1	246507561	246509312	-0.18621525175126832	-0.012290747182019297
chr10	29737030	29738781	0.12705945828662044	0.565405799427315
chr10	31320696	31322447	-0.0933404932353047	0.2601894129150383
chr10	46023704	46025455	1.0145520505560104	1.6235430013241596
chr10	69178233	69179984	0.40329617884023966	0.26560894602846924
chr10	71962394	71964145	1.0665598356812291	0.9621191961890957
chr10	91218662	91220413	0.7945925523273073	0.24199451824965731
chr10	102447815	102449566	-0.43328155165544885	-0.1331376425503171
chr10	110005963	110007714	0.18570453770541048	0.6054995272138511
chr10	110223992	110225743	0.17066106438400502	0.41167939832590433
chr10	132308199	132309950	0.6387514153850664	0.7721870700420842
chr11	695781	697532	0.16425772322298685	0.7847896542864548
chr11	810002	811753	0.3232325423403382	0.5161402824364179
chr11	840811	842562	0.4007461597958951	0.39462509242416727
chr11	7563624	7565375	0.23520167999185562	-0.06012488467150207
chr11	10294456	10296207	0.8228996536331005	0.7516417294789735
chr11	36298960	36300711	1.2197709909015482	1.4697387842815324
chr11	57311718	57313469	1.797700566832514	1.9331368932590403
chr11	58578415	58580166	-0.7278460004017552	-0.5207788282019501
chr11	62602114	62603865	1.45026882272999	1.0155759667807176
chr11	65382923	65384674	1.6327199150021627	2.0337436499944697
chr11	66908150	66909901	0.7165272764416807	1.440769280329115
chr11	86956216	86957967	0.5137498395893977	0.6375149719082448
chr11	107859057	107860808	0.6231971448792655	0.5881452030596841
chr11	110091391	110093142	0.27107711424132197	0.8081980306804972
chr11	111845640	111847391	1.4683212786217095	0.8679315350632137
chr11	111876934	111878685	0.6414332663916394	0.20015357608906015
chr11	111921682	111923433	1.0637472342182528	1.5072893346525773
chr11	112015303	112017054	1.3356049833977897	1.2439782723439539
chr12	1797909	1799660	0.21244573266352332	-0.16845771096761672
chr12	3753449	3755200	0.6724884687931123	0.6327828906823659
chr12	26193339	26195090	-0.21227802533299558	-0.02387066203345577
chr12	27380383	27382134	1.0321690495663682	1.5311107194255076
chr12	29221664	29223415	0.24395161699943557	0.3246253752855009
chr12	32500042	32501793	0.6394168994598691	1.182308259303302
chr12	53249585	53251336	0.6174856995128185	0.5818337112646154
chr12	59662676	59664427	0.47071054675643387	0.9732824398544024
chr12	104599487	104601238	1.3967147689000703	1.506686160236594
chr12	116908964	116910715	-0.11503027155597398	-0.035952727186806824
