#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6614356	6615357	1.3387633786501585	1.1642473656218963
chr1	14923629	14924630	1.1103189401693276	1.0435855047249454
chr1	23799901	23800902	2.502486269528811	2.2273723470184197
chr1	45339454	45340455	1.707652306952081	1.5560934420549746
chr1	55214861	55215862	2.932704357105297	2.8006495262359405
chr1	87129264	87130265	3.7464677074024606	1.9305153761630924
chr1	113757562	113758563	2.1353132987617847	1.3968602164443478
chr1	146959358	146960359	1.012921248673202	1.128890637274865
chr1	149832169	149833170	3.924270199709958	3.8587512785777864
chr1	153566254	153567255	2.1869529952012097	2.3897554637827634
chr1	155983104	155984105	4.879127089646193	5.43630573934529
chr1	160127895	160128896	0.9374249211939183	0.9915856312323998
chr1	160283730	160284731	13.246041279277364	13.948304553925892
chr1	161196603	161197604	2.428450039645413	2.054094640247194
chr1	161725400	161726401	2.0118398706396143	3.7678449192802947
chr1	171268495	171269496	1.3696978315416273	1.5187005970504257
chr1	201738816	201739817	4.594630379386239	7.535829304934262
chr1	201888179	201889180	1.7042753764180156	2.4428267098648164
chr1	245153994	245154995	1.0927665361372028	1.5350928625741322
chr1	246506811	246507812	1.5568143569077406	1.462056514068004
chr10	29736280	29737281	2.0861139993734295	2.5175534431592173
chr10	31319946	31320947	2.441818305595772	1.223274150094786
chr10	71963894	71964895	2.0092084360646676	2.407590953898041
chr10	91220162	91221163	1.5983644744232821	2.00833193683402
chr10	96129555	96130556	1.9661140350433257	1.8461761590523835
chr10	102449315	102450316	2.108765314732875	1.6119905905925231
chr10	110007463	110008464	1.9115187691641853	1.7072726453577245
chr10	110225492	110226493	2.3137977679364097	1.626046202955268
chr10	132307449	132308450	1.4690254935494196	1.1599906063302134
chr11	695031	696032	1.3086807015463782	1.2419437838124705
chr11	842311	843312	1.9389338441709658	1.9596920183329751
chr11	7565124	7566125	1.0619311201036512	1.057896486886374
chr11	9829167	9830168	1.2847286566582832	0.9987482365631398
chr11	10293706	10294707	3.2830216655292954	1.9478577525862606
chr11	10366676	10367677	5.755181496512521	3.3030823234554294
chr11	36300460	36301461	2.6124481908472386	6.128318244204933
chr11	57310968	57311969	6.785166553722156	7.9762497291221965
chr11	61332723	61333724	2.3913008594798755	2.7228847647205496
chr11	62601364	62602365	1.8007818600466918	2.1970541479585175
chr11	64246464	64247465	2.2300952581354196	2.2258000438942975
chr11	65382173	65383174	5.386819685289076	3.8159847265872964
chr11	66907400	66908401	7.893186619898656	8.155757233654306
chr11	86955466	86956467	6.478654068099869	8.607180136503715
chr11	107858307	107859308	1.3720239759325148	1.5232935244744117
chr11	110092891	110093892	2.0920881352534186	1.873431296575637
chr11	111844890	111845891	15.725543132404704	15.43192983316732
chr11	111878434	111879435	2.017285647092166	2.973893313895374
chr11	111923182	111924183	7.249346292135599	6.213153849273692
chr11	112016803	112017804	14.62222937523902	12.743648771361594
chr11	134252852	134253853	2.6380299110679357	2.764842838753552
chr12	3752699	3753700	1.2355495115236326	0.9588272380225468
chr12	26194839	26195840	0.9429357815646268	1.4711264069779808
chr12	27381883	27382884	9.02127808470826	6.370901239263666
chr12	29223164	29224165	4.208972822831465	5.185877171032754
chr12	48814392	48815393	2.172519187355613	1.8310110117251424
chr12	53169875	53170876	1.3626455404184439	1.199550106491282
chr12	53251085	53252086	3.4340821352109803	8.076905197196908
chr12	59664176	59665177	7.786319141064015	7.9526439473663135
chr12	63779616	63780617	1.9888178183815697	1.8499583553323102
chr12	104600987	104601988	1.1717853811380272	1.3217914443471772
chr12	116910464	116911465	1.8892477518361765	1.3329691094555065
chr13	23888341	23889342	1.1134594098528425	1.3399302163919606
chr13	41260085	41261086	1.027067420875633	1.1625777377790107
chr13	44436344	44437345	2.2712283262696777	1.4592795194961845
chr13	110714481	110715482	2.178049943983019	2.6430212417682566
chr14	31457005	31458006	1.8254638528585672	2.315785994578948
chr14	50395575	50396576	1.4209784028532504	1.122881299846775
chr14	95481261	95482262	3.3380732085297513	2.9054479100408055
chr14	95534388	95535389	1.6344986426842203	1.1479075798939118
chr14	100897421	100898422	1.1203173277833007	1.0183857503510538
chr15	49879087	49880088	1.5654567882373973	1.9497872164278796
chr15	50354959	50355960	3.164883505166708	1.9894229196287416
chr15	67065101	67066102	2.212070544049456	3.1393484292806804
chr15	80059067	80060068	3.1105765060135178	3.5629258884654775
chr15	90872377	90873378	1.528711501816055	1.8955031954523642
chr16	3304905	3305906	2.539112796993046	2.5993720780917897
chr16	10558653	10559654	2.0415437581370046	3.607916928989031
chr16	18401439	18402440	1.7923344247610298	1.9781844357907512
chr16	31073739	31074740	3.3833098785979647	2.592001239180843
chr16	48365400	48366401	3.303766038648851	7.258644071611372
chr16	66933943	66934944	2.0365459467290523	1.5956323584278067
chr16	69141615	69142616	2.1196704676244167	1.6188111357636503
chr16	69310849	69311850	2.01219718681587	1.4974460419201667
chr16	69330087	69331088	2.3580167113770014	2.555923362989804
chr16	71883040	71884041	1.7077065133048104	1.503285042333714
chr16	87316919	87317920	3.780871279294436	4.837545745499008
chr16	87765491	87766492	1.9196059532813377	1.442472029081631
chr17	7857390	7858391	1.7340995712356488	2.1196718333444715
chr17	8162474	8163475	1.5956520274159434	1.3741517766412001
chr17	15264825	15265826	3.6752675196507596	3.364034515200477
chr17	17576995	17577996	2.675691198145117	3.4695702069130414
chr17	17751975	17752976	1.4218617069423496	1.608816015533793
chr17	28725396	28726397	1.8933074620386936	1.9910472083242585
chr17	28726431	28727432	1.5298019916789751	1.6069083267793711
chr17	29568016	29569017	1.9650815387920186	2.0016703885116858
chr17	34960959	34961960	2.789676674033974	2.1634599247099437
chr17	39636589	39637590	1.786395261385343	1.2724974153838156
chr17	40062309	40063310	2.1243256901027436	1.3530462151005633
chr17	48577849	48578850	2.1447006137173372	1.7558647964622354
chr17	48593460	48594461	3.3819264667827293	3.534715217707199
chr17	81910963	81911964	1.6070630962055523	1.4980235164895122
chr18	5630199	5631200	1.6277180516017187	1.7185641356082983
chr18	50967490	50968491	3.083274583235368	1.819697295273696
chr18	77133182	77134183	1.3424526988209544	1.3009332919017578
chr19	1168645	1169646	3.764666276868883	3.072979317638741
chr19	3062606	3063607	1.6419839415802704	1.382462959784966
chr19	12775119	12776120	1.9201450717556372	2.2532627742130917
chr19	12995107	12996108	1.7231278906335366	1.2657795447807807
chr19	29708139	29709140	10.28333867152135	16.88859025343553
chr19	35139225	35140226	2.0510291528844693	2.069241979143598
chr19	38319344	38320345	1.3027063409003103	1.4979387568188953
chr19	42217256	42218257	1.6495787538419833	1.1591334053964326
chr19	45716828	45717829	6.146972256259366	6.652172463360208
chr19	47256022	47257023	1.4337867915165887	1.9769088790847824
chr19	52453052	52454053	1.9338005355545331	1.5464610012618454
chr19	58401003	58402004	2.0016537839906676	2.370087243460275
chr2	3536372	3537373	1.2968691251375577	1.6147166996688156
chr2	8681362	8682363	4.016286217139794	3.6928170871385286
chr2	48568519	48569520	2.774267102221509	5.755972081329518
chr2	54455816	54456817	2.212243963312079	2.5752513854058234
chr2	55009948	55010949	2.455800709605336	2.613253320966448
chr2	62215017	62216018	1.2086572145200989	1.2825039263530609
chr2	62698374	62699375	19.829116023137022	16.958890230227738
chr2	62978822	62979823	1.3706622921146236	1.0913863404369575
chr2	85561061	85562062	4.13966861507633	2.264738621967378
chr2	95789164	95790165	0.9072094898052386	0.9546872868444218
chr2	102761462	102762463	3.9659228956925645	5.121055822153311
chr2	108533681	108534682	2.8637602030385385	4.062254488884986
chr2	109436152	109437153	1.3966691802765105	1.8584978279573616
chr2	218322672	218323673	1.6951360548935925	2.654743686978356
chr2	218684233	218685234	0.8367449950409699	1.0345719991983116
chr20	44738395	44739396	2.1808106951946975	2.7222236469115093
chr20	50567554	50568555	4.176756764353811	5.280222053413506
