#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	28369	30370	0.0	0.0
chr1	494475	496476	0.0006082388606878875	0.0
chr1	497975	499976	0.0	0.0
chr1	497975	499976	0.0	0.0
chr1	498174	500175	0.0	0.0
chr1	500606	502607	-0.027576547528834018	0.0
chr1	501872	503873	-0.047583062907328076	0.0
chr1	501872	503873	-0.047583062907328076	0.0
chr1	513412	515413	0.0	0.0
chr1	516251	518252	-0.04169406919465072	0.0
chr1	521927	523928	0.0	0.0
chr1	732063	734064	0.14298572690195208	0.1933302830879279
chr1	945252	947253	-0.772588233589005	-0.6607271823886233
chr1	950157	952158	-0.8012564855897114	-0.9639332081980453
chr1	960448	962449	0.6970317738410707	0.19358460513548154
chr1	1219292	1221293	-0.5854033617942782	-0.4767970473651546
chr1	1231000	1233001	2.956087581919961	3.032955275006082
chr1	1231066	1233067	2.8310359374076612	2.8770950497854915
chr1	1255334	1257335	-0.37672163915787965	-0.30236685754616177
chr1	1262568	1264569	0.9742378807041875	2.0201171587266677
chr1	1272836	1274837	2.9166982056394732	3.431327456814755
chr1	1272884	1274885	2.8537940858554376	3.360723015230615
chr1	1272884	1274885	2.8537940858554376	3.360723015230615
chr1	1294007	1296008	-0.5584118530993015	-0.6878953948331519
chr1	1294817	1296818	-0.732488574295387	-0.5269261223464018
chr1	1297112	1299113	-0.19955128054103025	-0.3834303725307909
chr1	1297240	1299241	-0.12897573974379392	-0.44067393504201063
chr1	1297264	1299265	-0.13781903533780437	-0.45315063609374717
chr1	1303900	1305901	2.3872789993241073	2.4816902467415325
chr1	1304699	1306700	2.803483774972782	2.868186228371546
chr1	1304928	1306929	2.7926014918448256	2.8136405189679805
chr1	1306929	1308930	4.242110980406792	3.860258787342508
chr1	1308349	1310350	2.2657889951380805	1.9188317445522742
chr1	1338421	1340422	-0.39038133129452457	-0.18867397753175214
chr1	1339364	1341365	-0.425293683344998	-0.33382109690099104
chr1	1354511	1356512	2.5077351980914284	2.2596687859369946
chr1	1374158	1376159	3.5608851693759833	4.001621009627124
chr1	1374158	1376159	3.5608851693759833	4.001621009627124
chr1	1374172	1376173	3.57317729241292	4.007850396281657
chr1	1374494	1376495	3.5733134559269826	3.962126187543707
chr1	1390648	1392649	0.15356946519024395	0.3893669920525272
chr1	1391715	1393716	0.026980053836378318	0.23472529515691068
chr1	1397365	1399366	3.1854254337113392	3.491721265577741
chr1	1397365	1399366	3.1854254337113392	3.491721265577741
chr1	1397955	1399956	3.7883614397163763	4.127288634498126
chr1	1398324	1400325	4.066425326345922	4.2890413851878035
chr1	1398334	1400335	4.068788668302484	4.289869620802799
chr1	1398519	1400520	4.1030119215308565	4.30519197968019
chr1	1398519	1400520	4.1030119215308565	4.30519197968019
chr1	1398526	1400527	4.1005106352269305	4.305771744610687
chr1	1470764	1472765	3.130732414089974	3.2518072191577634
chr1	1511161	1513162	3.722542898760331	3.696575838811619
chr1	1511529	1513530	3.481042283867388	3.2773507876705703
chr1	1573862	1575863	4.554435948002784	4.779103601453464
chr1	1574374	1576375	3.7089122998102995	3.9194514782280865
chr1	1614414	1616415	4.051999367879482	4.302690396363708
chr1	1614878	1616879	3.65072142678428	4.058869572931303
chr1	1622121	1624122	-0.31891916713582014	-0.7220763025718578
chr1	1622580	1624581	-0.4580492975060724	-0.7016120585815931
chr1	1623743	1625744	-0.3903147160051022	-0.568883071516864
chr1	1624086	1626087	-0.4065071629955813	-0.59983713242008
chr1	1626459	1628460	-0.7258610249887153	-0.8701483275956676
chr1	1633001	1635002	0.0288257990121289	0.0
chr1	1706560	1708561	-0.22611609644103658	-0.07880801951721722
chr1	1707230	1709231	-0.03726105024713762	-0.07218819877494877
chr1	1723031	1725032	1.942770751197651	2.1906607159371974
chr1	1723273	1725274	2.1155981865872002	2.3378975557932757
chr1	1723356	1725357	2.112847554586741	2.3550435717363096
chr1	1738556	1740557	0.4433563693942879	0.2785502189440507
chr1	1744998	1746999	2.2390986052144797	2.257100684856335
chr1	1744998	1746999	2.2390986052144797	2.257100684856335
chr1	1851682	1853683	0.2417215525624667	0.329492864576859
chr1	1881501	1883502	1.6668428409148863	1.7565440230290401
chr1	1889492	1891493	4.121369910789345	4.198098831011537
chr1	1890116	1892117	3.9924435797730298	3.9871734944498782
chr1	1890116	1892117	3.9924435797730298	3.9871734944498782
chr1	2193212	2195213	3.0235947611590714	2.696009666056932
chr1	2193774	2195775	3.3839994429415485	3.391793012738168
chr1	2193774	2195775	3.3839994429415485	3.391793012738168
chr1	2198906	2200907	2.309320598809572	2.1449666091964064
chr1	2302645	2304646	-0.17626152044640023	-0.18479294077640068
chr1	2384120	2386121	-0.36141115981875765	-0.7587003836997697
chr1	2388995	2390996	0.599466568542726	0.22436862891065504
chr1	2390706	2392707	3.6239273509240086	3.817122790356573
chr1	2390706	2392707	3.6239273509240086	3.817122790356573
chr1	2518193	2520194	-0.42998105404806036	-0.9327206796447747
chr1	2555365	2557366	2.212413843985684	1.5897227855557188
chr1	2555562	2557563	2.2854698038475973	1.6573215246107889
chr1	2559553	2561554	-0.9215595246466171	-0.5309651198634184
chr1	2559553	2561554	-0.9215595246466171	-0.5309651198634184
chr1	2560653	2562654	-1.0597287883145898	-0.5178609581180056
chr1	2560800	2562801	-0.9690279185671749	-0.5174419326926266
chr1	2585749	2587750	2.204675001784178	2.152978933872272
chr1	2586041	2588042	1.6787845527864176	1.7132710784589296
chr1	3492485	3494486	-0.8129848452321913	-0.7344607482898294
chr1	3493243	3495244	-0.7120773840468321	-0.5977049026413002
chr1	3530447	3532448	-0.011658420123406652	-0.08385164940653096
chr1	3624014	3626015	3.0184684155676345	3.4790174918593353
chr1	3634449	3636450	-0.8671526195059401	-0.7506942858376398
chr1	3741857	3743858	-0.4058344020744286	-0.3724435862354213
chr1	3742260	3744261	-0.5040053066534249	-0.3383021558553693
chr1	3742260	3744261	-0.5040053066534249	-0.3383021558553693
chr1	3745906	3747907	0.9129240159623154	1.246432609878883
chr1	3746372	3748373	0.9255820714215863	0.9101825845493748
chr1	3746374	3748375	0.9247872007060509	0.9084454751754762
chr1	3783174	3785175	-0.19680712811327616	-0.27480399972018693
chr1	3783174	3785175	-0.19680712811327616	-0.27480399972018693
chr1	3830223	3832224	-0.07903591352017973	-0.21791790726382235
chr1	3838109	3840110	-0.5843455538375023	-0.5890709916571866
chr1	3891995	3893996	-0.5709784998626626	0.07084987220338398
chr1	3899292	3901293	3.8306485926902933	4.1161669112038215
chr1	3899292	3901293	3.8306485926902933	4.1161669112038215
chr1	5904323	5906324	-1.1392412091215716	-0.7918842657130433
chr1	5990923	5992924	2.7753398478109688	2.509566933715937
chr1	5990923	5992924	2.7753398478109688	2.509566933715937
chr1	5991261	5993262	2.5835780867128206	2.3854011696840853
chr1	5991261	5993262	2.5835780867128206	2.3854011696840853
chr1	5991424	5993425	2.399540881816838	2.1536774991969754
chr1	5991424	5993425	2.399540881816838	2.1536774991969754
chr1	5991472	5993473	2.338499699624176	2.0854398539001577
chr1	6025012	6027013	-0.22798074772484564	0.06156875857626937
chr1	6198552	6200553	3.193600340090131	3.389627744107106
chr1	6198594	6200595	3.1634577749036636	3.349718564963564
chr1	6199841	6201842	0.6067720941539506	0.5004985451241563
chr1	6234971	6236972	1.785408029204891	1.840119326986433
chr1	6275528	6277529	1.2180760868929823	1.0731006068983178
chr1	6578993	6580994	2.546997766926723	2.85490770108021
chr1	6578993	6580994	2.546997766926723	2.85490770108021
chr1	6578993	6580994	2.546997766926723	2.85490770108021
chr1	6578993	6580994	2.546997766926723	2.85490770108021
chr1	6578993	6580994	2.546997766926723	2.85490770108021
chr1	6579000	6581001	2.5557621956781453	2.861013266636335
chr1	6579016	6581017	2.575795175681397	2.874968845050334
chr1	6600035	6602036	4.493596473885527	4.481641401792593
chr1	6602000	6604001	5.151267410575718	5.147317731828599
chr1	6612386	6614387	4.422485752772084	4.234841191846094
chr1	6612386	6614387	4.422485752772084	4.234841191846094
chr1	6613606	6615607	4.160885748330946	4.633712159143613
chr1	6644111	6646112	-0.7694341941898226	-0.631278205946567
chr1	6784453	6786454	3.3510222436514012	3.4263463998676253
chr1	6784453	6786454	3.3510222436514012	3.4263463998676253
chr1	6784453	6786454	3.3510222436514012	3.4263463998676253
chr1	6805987	6807988	-0.8673406900516195	-0.6322167123189487
chr1	7770295	7772296	2.489149387819407	2.716430390177022
chr1	7771706	7773707	1.1306723419423377	1.7677831244671243
chr1	7784463	7786464	0.08272867863281484	0.034405609815890845
chr1	7784522	7786523	0.003976159167037322	-0.042590849998889686
chr1	7835807	7837808	-0.5649186256044396	-0.7838030079361785
chr1	7953290	7955291	2.0356660506200077	2.3884183581132623
chr1	7960662	7962663	3.6934806254324815	3.607963770920885
chr1	7960710	7962711	3.7237536698684046	3.6253621815589265
chr1	7960893	7962894	3.696383058800051	3.5904277956355344
chr1	8014632	8016633	3.781476579603487	3.266827436043941
chr1	8022265	8024266	2.1080075453273452	1.4884149552027066
chr1	8025308	8027309	4.162794348772326	3.4467720568918154
chr1	8025308	8027309	4.162794348772326	3.4467720568918154
chr1	8361843	8363844	0.5075374529463652	1.0027306919075658
chr1	8623379	8625380	0.006620466419386506	-0.5701995845359702
chr1	8870943	8872944	2.6406260239076578	2.7627342766808325
chr1	8878091	8880092	5.120257065452258	4.94292540377862
chr1	9182217	9184218	3.3545223348907935	3.371424697705672
chr1	9190037	9192038	-0.5481308038943867	-0.5296863480923316
chr1	9233773	9235774	4.48945686427333	4.4443143111383625
chr1	9233773	9235774	4.48945686427333	4.4443143111383625
chr1	9233774	9235775	4.489156831080421	4.442917204583675
chr1	9238843	9240844	2.64687869513161	2.0929261615919876
chr1	9238846	9240847	2.6467326213941864	2.0917775175137074
chr1	9241825	9243826	2.9225050380416153	2.2757568491498796
chr1	9241825	9243826	2.9225050380416153	2.2757568491498796
chr1	9241825	9243826	2.9225050380416153	2.2757568491498796
chr1	9261166	9263167	-0.85417609062921	-0.7047101075145258
chr1	9291893	9293894	4.338354266435618	4.242057612618929
chr1	9427964	9429965	1.3353169369603335	1.2979837721090102
chr1	9822959	9824960	1.6756923435266293	1.3892493745237318
chr1	9823525	9825526	1.1851150898003826	1.0585761615957159
chr1	9931179	9933180	-0.06480407683431552	-0.7081441808576964
chr1	9934619	9936620	-0.19114342174825305	-0.38920914435401216
chr1	9941767	9943768	3.1221368397973577	2.964384615391508
chr1	9942326	9944327	3.5339920388309656	3.6752470213897332
chr1	9942390	9944391	3.489268889264058	3.662337691007181
chr1	9942406	9944407	3.478088101872331	3.6591103584115436
chr1	9942427	9944428	3.4634133184206903	3.6548744843797683
chr1	9942474	9944475	3.430569755457493	3.645394194880082
chr1	9980051	9982052	-0.7349268320358399	-0.34054799136557323
chr1	10031831	10033832	3.455454480560845	3.3421136373231506
chr1	10048231	10050232	-0.2689794221344001	-0.45523816084661844
chr1	10094516	10096517	-0.567248221152883	-0.39847812241388986
chr1	10115422	10117423	-0.242890608250583	0.4310491933001293
chr1	10121041	10123042	-0.3920610279439228	-0.15824339773595494
chr1	10127338	10129339	-0.669372508594197	-0.5369929460293249
chr1	10209804	10211805	4.771112605879954	4.343508694185012
chr1	10210615	10212616	4.681596974956958	4.243541411976473
chr1	10323836	10325837	-0.2827494559189022	0.3292949573996926
chr1	11011343	11013344	3.0831074697979686	2.9360026229764347
chr1	11057872	11059873	1.3291627915886584	1.3740687051243834
chr1	11059019	11061020	3.1104147985031254	3.323266178003799
chr1	11059019	11061020	3.1104147985031254	3.323266178003799
chr1	11071394	11073395	-0.5712595733355579	-0.4702364459904397
chr1	11081622	11083623	-0.6689745784266199	-0.3421972504500924
chr1	11130557	11132558	-0.48946181873510264	-0.5782522607322298
chr1	11272205	11274206	1.837754749297489	1.9931739211856931
chr1	11272205	11274206	1.837754749297489	1.9931739211856931
chr1	11653374	11655375	0.3945867224663251	0.5049682932259062
chr1	11653856	11655857	0.4131793488128632	0.4381830076684401
chr1	11653856	11655857	0.4131793488128632	0.4381830076684401
chr1	11653856	11655857	0.4131793488128632	0.4381830076684401
chr1	11657541	11659542	-0.5791117853613803	-0.5973091651600466
chr1	11735083	11737084	3.0038590499020397	2.8373601240679904
chr1	11735083	11737084	3.0038590499020397	2.8373601240679904
chr1	11744800	11746801	-0.16464777371044037	-0.7290000588262795
chr1	11744997	11746998	-0.19601684635151612	-0.7501027370797937
chr1	11802525	11804526	3.9181239981788005	3.1923930797103486
chr1	11805095	11807096	4.553352634984	4.368074591761262
chr1	11828848	11830849	-0.6723207647648476	-0.4544733844358643
chr1	11922014	11924015	0.25642269919913074	0.5029478980776166
chr1	11923884	11925885	1.2656739529419083	1.6322808692242017
chr1	11933693	11935694	2.8850979888830746	2.8745066000253017
chr1	11933693	11935694	2.8850979888830746	2.8745066000253017
chr1	11979180	11981181	3.559078852855538	3.9736668419762493
chr1	11979180	11981181	3.559078852855538	3.9736668419762493
chr1	11979180	11981181	3.559078852855538	3.9736668419762493
chr1	11979443	11981444	3.3682472863660275	3.8372185424469163
chr1	11980991	11982992	1.0580250741914337	1.2617208739098587
chr1	12018465	12020466	2.9014389934005136	2.9639843291448353
chr1	12018465	12020466	2.9014389934005136	2.9639843291448353
chr1	12030126	12032127	-0.4143277727692668	-0.4147169909714739
chr1	12252733	12254734	-0.4963646856194206	-0.6248392313429196
chr1	12306773	12308774	-0.572196406164746	-0.5348333590590277
chr1	12355350	12357351	-0.08688569152313493	0.18511469883609372
chr1	12408837	12410838	1.1556692961577169	0.7197331980270445
chr1	12595307	12597308	4.3372950965285515	4.0685961583154615
chr1	12595612	12597613	4.149983821271155	3.8315335486146895
chr1	12615788	12617789	4.561140143872931	4.584317177840251
chr1	12615794	12617795	4.559224368279062	4.583165641283497
chr1	12617209	12619210	4.691297808508465	4.408169267840717
chr1	13748402	13750403	4.34551487815607	4.283823408882717
chr1	13748402	13750403	4.34551487815607	4.283823408882717
chr1	13748414	13750415	4.352670018175005	4.2969897611924015
chr1	13748916	13750917	4.046747341695863	4.145907133077952
chr1	13749409	13751410	3.5223087918931157	3.714133003629275
chr1	15523444	15525445	3.4072629361782845	3.6929240301147983
chr1	15523888	15525889	3.5021294648446593	3.7003690743010793
chr1	15525556	15527557	3.710194329347611	4.025699546212815
chr1	15525812	15527813	3.5185562865324984	3.9214560950217434
chr1	15525812	15527813	3.5185562865324984	3.9214560950217434
chr1	15680505	15682506	3.884944677472055	3.632419312507985
chr1	15683319	15685320	3.777387320407706	3.764129388510429
chr1	15757783	15759784	1.7554442745948942	2.0708253064977185
chr1	15757783	15759784	1.7554442745948942	2.0708253064977185
chr1	15763498	15765499	-0.406675705542098	-0.7215380010536546
chr1	15763952	15765953	-0.26924411410161275	-0.5422361625068965
chr1	15776014	15778015	-0.4174625470081412	-0.41034470934203005
chr1	15776072	15778073	-0.4554859437111057	-0.4395837718678299
chr1	15872501	15874502	-0.4013981755895165	-0.13219439937693866
chr1	15875575	15877576	-0.5148427242162763	-0.5183126824921456
chr1	15937582	15939583	1.0253103044875655	0.8392295472009886
chr1	16017042	16019043	3.808257360026402	3.731792761329093
chr1	16017789	16019790	3.372882075693416	3.240105769987592
chr1	16017789	16019790	3.372882075693416	3.240105769987592
chr1	16017789	16019790	3.372882075693416	3.240105769987592
chr1	16312425	16314426	-0.742954889846614	-0.9604349072806025
chr1	16312465	16314466	-0.736194697250041	-0.9385581914399823
chr1	16314366	16316367	-0.6453845642084297	-0.35727855759264326
chr1	16351479	16353480	3.7369659219843814	3.524871105872133
chr1	16351479	16353480	3.7369659219843814	3.524871105872133
chr1	16351479	16353480	3.7369659219843814	3.524871105872133
chr1	16439720	16441721	2.5552390095408892	2.7533710626316954
chr1	16439720	16441721	2.5552390095408892	2.7533710626316954
chr1	16439720	16441721	2.5552390095408892	2.7533710626316954
chr1	16439723	16441724	2.556388103774013	2.755536677961949
chr1	16454520	16456521	-0.26777314194696633	-0.29589518030424944
chr1	16482340	16484341	-0.0334651554130716	-0.4647375181002079
chr1	16490081	16492082	-0.5127110306274604	-0.8290135747250886
chr1	16498256	16500257	2.258927631668466	2.460109632133981
chr1	16498258	16500259	2.2578476693129685	2.459618558703089
chr1	16607649	16609650	-1.2888943342590402	-1.3716271972529155
chr1	16625385	16627386	-1.3812530637681038	-0.7246618299469955
