#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6613856	6615857	4.092272934522174	4.59660898035242
chr1	14923129	14925130	1.5762626128586443	1.2070649812047964
chr1	23799401	23801402	3.5945536305971437	3.6230501455272797
chr1	45338954	45340955	3.6166054643022063	3.855940659920335
chr1	55214361	55216362	4.3441381284192	4.462453754998451
chr1	87128764	87130765	2.1898344170418422	2.5076969440094974
chr1	113757062	113759063	3.2942097858505037	3.325698574284762
chr1	113758887	113760888	3.6854055652906097	4.112317262984533
chr1	146958858	146960859	0.030066396749131728	-0.31475373766490977
chr1	149831669	149833670	0.0	0.03460449293099422
chr1	153565754	153567755	4.235015251468504	3.51345282306848
chr1	155982604	155984605	4.47687431714302	4.152722871894673
chr1	160127395	160129396	2.202075221863389	1.9176984769300192
chr1	160283230	160285231	4.277000894919556	4.503667625847924
chr1	161724900	161726901	2.57928779612536	2.362326609141108
chr1	171267995	171269996	0.16226664205156607	-0.3550171090083196
chr1	184567398	184569399	0.33730004275816194	0.796694788202876
chr1	201738316	201740317	4.076103529163874	4.488722105215296
chr1	201738867	201740868	4.309328385546717	4.891179417920434
chr1	201887679	201889680	1.2079697380353611	1.1874638541600409
chr1	245153494	245155495	2.0692765723461513	2.0221008826310922
chr1	246506311	246508312	0.9178742743173195	1.3324706057161364
chr10	29735780	29737781	2.943249247994938	2.9751265211951043
chr10	31319446	31321447	4.44659187175128	3.849454553873034
chr10	46022454	46024455	4.228401293959732	4.685141136859549
chr10	69179233	69181234	3.8275517511387296	4.024579614356183
chr10	71963394	71965395	4.810590900256326	4.580314699565162
chr10	91219662	91221663	1.6964364677679802	1.9801234976164643
chr10	102448815	102450816	0.6069969095401071	0.7905998639855487
chr10	110006963	110008964	4.304894265915803	4.1100270509971395
chr10	110224992	110226993	2.508701409644105	3.027191372905078
chr10	132306949	132308950	1.6905043550300434	2.03858194731681
chr11	694531	696532	3.6044560110469885	3.87535709466044
chr11	808752	810753	4.682705758458606	5.011936051754599
chr11	841811	843812	4.4545876505287065	4.020037249289174
chr11	7564624	7566625	-0.8529792541452607	-0.7405665145735069
chr11	10293206	10295207	4.735927619048475	4.411206139670373
chr11	36299960	36301961	0.8878369418433933	2.478385958337156
chr11	57310468	57312469	4.27875485956834	4.554968042610368
chr11	58577165	58579166	4.25984964695248	4.663376667358019
chr11	62600864	62602865	3.8326920927922155	3.2945433471593266
chr11	65381673	65383674	4.324345486821908	4.3752093493319535
chr11	66906900	66908901	2.9227159344230915	3.503777426387582
chr11	86954966	86956967	4.035264580227365	4.453580961492723
chr11	107857807	107859808	1.7548469713992767	1.5633677829410082
chr11	110092391	110094392	4.109254023611863	3.7694346906475693
chr11	111844390	111846391	3.4049917635883653	3.9233076553221866
chr11	111877934	111879935	2.5157395407329344	2.7717042271807197
chr11	111922682	111924683	4.449846294823003	4.916083998295924
chr11	112016303	112018304	4.373396914158333	4.41442169667323
chr12	1796659	1798660	0.6756737242024563	0.5622104885140081
chr12	3752199	3754200	2.554610076298756	1.6917922226061026
chr12	26194339	26196340	1.6434519311504479	1.6271363938627255
chr12	27381383	27383384	2.6771736149352248	3.120440187231281
chr12	29222664	29224665	0.4756863112127075	1.893738263888139
chr12	32501042	32503043	2.8849333072964085	3.23191643624404
chr12	53250585	53252586	3.53059149210892	4.002940955832729
chr12	59663676	59665677	1.2948531221484485	2.3765618556462864
chr12	104600487	104602488	0.19368793477930196	1.0678360908602984
chr12	116909964	116911965	2.0415460268439776	2.1208148340744923
chr12	122833452	122835453	0.787108250443329	0.9306149705934182
chr13	23179951	23181952	0.7090562290911574	1.824314499425626
chr13	23887841	23889842	3.0909916406043694	3.1670667113571507
chr13	41259585	41261586	-0.5032541147122611	-0.7671451832321552
chr13	44435844	44437845	3.6267735902099005	3.885789331600001
chr13	110713981	110715982	4.034488726851563	4.102154773850055
chr14	50395075	50397076	2.217694207879026	2.0014087792021145
chr14	73568058	73570059	4.467126415034836	4.479476234782999
chr14	95480761	95482762	3.056014771149748	3.434639306327637
chr14	95533888	95535889	4.126585830190041	4.150280869154724
chr14	100896921	100898922	-0.44599328120798654	-0.16104588572682027
chr15	40438720	40440721	1.6820732097375304	2.10727798084183
chr15	49878587	49880588	3.036573466922752	2.7190822199068925
chr15	50354459	50356460	4.8796222453320794	4.492073068190365
chr15	74172709	74174710	4.058831746139203	3.5379756026400657
chr15	90871877	90873878	3.2641093027184973	3.1446547215661003
chr16	10558153	10560154	2.936485487102709	3.4630346954335534
chr16	31073239	31075240	4.591046009009128	4.56308850384717
chr16	48364900	48366901	4.281688332649749	4.439464989134257
chr16	66933443	66935444	3.4240531813935338	3.651002984314626
chr16	69141115	69143116	1.508148554347807	2.4688408386833736
chr16	69310349	69312350	3.6006203718542005	3.807309136874434
chr16	69329587	69331588	3.7764976727286053	3.4947701514055187
chr16	71882540	71884541	2.1839897969792568	2.178465412831914
chr16	75250623	75252624	4.369379265327553	3.7322432099498615
chr16	87316419	87318420	3.708644218714752	4.3201328099445835
chr17	4949189	4951190	3.3063040532689283	3.3201374488881323
chr17	7856890	7858891	3.9243345012355437	4.363960298998602
chr17	15264325	15266326	2.3210645333981126	2.768254306978451
