in_trifid	intron_coords	condition	deltapsi	p.adjust	gene	cluster_id	annotation	mean_trifid_score	mean_norm_score	median_norm_score	transcripts	transcript_names	sig
in_trifid	chrX:72330076:72351733:-	white	-0.493203676313448	1.86472195470581e-81	HDAC8	clu_291_-	gencode	0.100276923076923	0.131576923076923	0.0015	ENST00000373573,ENST00000647980,ENST00000373583,ENST00000373589,ENST00000650604,ENST00000648939,ENST00000650076,ENST00000648276,ENST00000648459,ENST00000648731,ENST00000648850,ENST00000649181,ENST00000650471	HDAC8-207,HDAC8-227,HDAC8-208,HDAC8-209,HDAC8-259,HDAC8-245,HDAC8-255,HDAC8-232,HDAC8-236,HDAC8-240,HDAC8-242,HDAC8-249,HDAC8-257	sig_white
in_trifid	chr18:5489194:5543913:-	white	-0.483137725939243	4.26871566014793e-13	EPB41L3	clu_21093_-	gencode	0.36845	0.552975	0.59495	ENST00000341928,ENST00000540638,ENST00000342933,ENST00000400111	EPB41L3-201,EPB41L3-204,EPB41L3-202,EPB41L3-203	sig_white
in_trifid	chr1:201718755:201780421:+	white	-0.445541859456766	5.72557233347551e-43	NAV1	clu_14762_+	gencode	0.29275	0.5855	0.5855	ENST00000367296,ENST00000367302	NAV1-202,NAV1-203	sig_white
in_trifid	chrX:72302934:72307025:-	beige	0.420991550058096	1.86472195470581e-81	CITED1	clu_291_-	gencode	0.3949	0.7897	0.7897	ENST00000373619	CITED1-202	sig_beige
in_trifid	chr17:17577027:17591531:-	white	-0.409602238813953	3.18459597184453e-102	PEMT	clu_19605_-	gencode	0.14385	0.179	0.04725	ENST00000255389,ENST00000395781,ENST00000461404,ENST00000580147	PEMT-201,PEMT-202,PEMT-207,PEMT-212	sig_white
in_trifid	chr18:5489161:5630377:-	beige	0.406908270033182	4.26871566014793e-13	EPB41L3	clu_21093_-	gencode	0.0229	0.0344	0.0344	ENST00000637651	EPB41L3-236	sig_beige
in_trifid	chr17:50864163:50867494:-	beige	0.401844142673335	1.48849606519829e-14	TOB1	clu_20113_-	gencode	0.7022	0.9784	0.9784	ENST00000268957	TOB1-201	sig_beige
in_trifid	chr17:50864163:50866058:-	white	-0.401111989668959	1.48849606519829e-14	TOB1	clu_20113_-	gencode	0.7177	1	1	ENST00000499247	TOB1-202	sig_white
in_trifid	chr11:111844723:111853380:-	white	-0.387948797382457	2.7802386172716e-62	ALG9,AP001781.2	clu_2011_-	gencode	0.264271428571429	0.415314285714286	0.5528	ENST00000614444,ENST00000398006,ENST00000616540,ENST00000622211,ENST00000531154,ENST00000613181,ENST00000619129	ALG9-214,ALG9-201,ALG9-215,AP001781.2-201,ALG9-210,ALG9-213,ALG9-217	sig_white
in_trifid	chrX:136197134:136206407:+	white	-0.38727299375318	6.47407481278028e-56	FHL1	clu_15610_+	gencode	0.4493	0.54645	0.54645	ENST00000370683,ENST00000370676	FHL1-203,FHL1-202	sig_white
in_trifid	chr17:28728860:28733983:+	white	-0.385148128737057	5.89745190886702e-40	NEK8	clu_34526_+	gencode	0.32255	0.5066	0.5066	ENST00000268766,ENST00000543014	NEK8-201,NEK8-202	sig_white
in_trifid	chrX:136747592:136779414:-	beige	0.372092248786076	6.45552928569368e-26	ARHGEF6	clu_471_-	gencode	0.9215	1	1	ENST00000250617	ARHGEF6-201	sig_beige
in_trifid	chrX:136204939:136206407:+	beige	0.363208011179429	6.47407481278028e-56	FHL1	clu_15610_+	gencode	0.0028	0.0034	0.0034	ENST00000370674	FHL1-201	sig_beige
