#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6611730	6615731	-0.8074883836965933	-0.7133907592466431
chr1	11801676	11805677	-0.8385160591164528	-1.3305801179568
chr1	14943918	14947919	-0.5768214826320789	-0.6847459087733602
chr1	17632256	17636257	-0.5314745228396471	-0.4775463277333089
chr1	23798780	23802781	-0.8543626699117818	-0.8210533780838967
chr1	26430281	26434282	-1.1698786360269802	-0.8283558016454485
chr1	33347884	33351885	-0.6593112905411969	-0.7333951605803408
chr1	55213363	55217364	-1.1102837092479474	-0.8865427886533632
chr1	113757485	113761486	-0.7881504679399247	-0.7994435659109456
chr1	113757488	113761489	-0.7882785232835596	-0.799929071986959
chr1	115766780	115770781	0.05730105733549675	0.054052843800646205
chr1	146957970	146961971	0.01014888054974637	-0.3540449217671558
chr1	149830667	149834668	-6.196626486997988e-05	0.0
chr1	153563843	153567844	-0.5369373174327708	-0.46169942341482745
chr1	155981389	155985390	-0.8401887156996938	-1.126327697046033
chr1	160125671	160129672	-0.5360502698357842	-0.7541399393712257
chr1	160283153	160287154	-1.0221800888379269	-1.027780535776675
chr1	161223938	161227939	-0.6781711086534183	-0.7313620709330767
chr1	161747757	161751758	-0.7560312068663565	-0.4777063841741502
chr1	161747757	161751758	-0.7560312068663565	-0.4777063841741502
chr1	171255956	171259957	0.07339427982660462	0.023333772512485862
chr1	173203723	173207724	-0.45571743881685645	-0.3072111993865047
chr1	201886707	201890708	-0.47400103040764513	-0.2568134545237914
chr1	219090266	219094267	-0.5964699599101797	-0.2136784576794318
chr1	240283295	240287296	-0.4656592653052963	-0.35563207968414406
chr1	245152984	245156985	0.13347145499275334	-0.04222271973026926
chr1	246415408	246419409	-0.4348509287557859	-0.42043140357031106
chr10	24464530	24468531	-0.7306267513808117	-0.686796844808391
chr10	29646274	29650275	-0.9995945970236727	-0.89591450362685
chr10	29733923	29737924	-0.6879194018436803	-0.7957346394007153
chr10	46028713	46032714	-0.7441773825781072	-1.0068823631835588
chr10	71963340	71967341	-0.7517252505695132	-0.8383461361661835
chr10	89643571	89647572	-0.689761110582107	-0.6768852969935554
chr10	91161011	91165012	-0.6683935652491868	-0.34874758522030297
chr10	103676214	103680215	-0.9729463446323606	-0.8520219053561721
chr10	110003803	110007804	-0.7338339258217881	-0.8913862211231708
chr10	110205604	110209605	-0.3512593117438197	-0.3400427116160623
chr10	119816726	119820727	-0.4484106003199228	-0.2003140256022774
chr11	704714	708715	-0.7209164717386255	-0.3895735618403323
chr11	7574766	7578767	-0.290925716936379	-0.5124354500868428
chr11	8724318	8728319	-0.5373175264911839	-0.6076879525774571
chr11	9571669	9575670	-0.8359545929991212	-0.826414895735015
chr11	10453319	10457320	-0.2907989655669583	-0.046729169848255966
chr11	36374380	36378381	-0.33292518070363564	-0.021738269321191963
chr11	36374380	36378381	-0.33292518070363564	-0.021738269321191963
chr11	58573882	58577883	-1.08646679130302	-0.9584326955821826
chr11	62599274	62603275	-0.8076340288171189	-1.1041711411945834
chr11	62726111	62730112	-0.9557477626404861	-0.9442041641492144
chr11	64243963	64247964	-0.6849250452478224	-0.771228911223906
chr11	65380372	65384373	-0.6731934832263309	-0.6211219314084281
chr11	71477293	71481294	-0.7244129733022894	-0.5777824006921107
chr11	75523940	75527941	0.3378099805765946	0.17955998510470733
chr11	86954237	86958238	-0.7946764536156967	-0.8707192093957423
chr11	110091110	110095111	-0.6944363551752728	-0.6325186320089314
chr11	111877540	111881541	-0.9159120505296353	-0.8702134609076748
chr11	111975308	111979309	-0.8515533346452319	-1.0200340009119018
chr11	112015573	112019574	-0.9838739311665774	-1.0126493436446864
chr11	119009206	119013207	-0.8998459209405557	-1.0185066423260145
chr12	1795329	1799330	-0.16296438343543534	-0.4343195048813726
chr12	26193495	26197496	-0.641431123051588	-0.3062881582184003
chr12	29147102	29151103	0.3278103692139015	0.20280597317787863
chr12	32532323	32536324	-1.0099731822120428	-1.074498862465941
chr12	46385168	46389169	-0.9557715465520714	-0.8866189061335706
chr12	53250095	53254096	-0.8105006026704817	-0.746338978230584
chr12	55972073	55976074	-0.9036692460237923	-0.8811768870507439
chr12	104454970	104458971	-0.6506365184166459	-0.4099904465600535
chr12	116908949	116912950	-0.5361954944220539	-0.39305682880124504
chr12	122833456	122837457	-0.2565692610142192	-0.2687183466161306
chr12	132708818	132712819	-0.7871102621219775	-0.7808523943762629
chr13	23158507	23162508	0.49648604998123574	0.1970120295611174
chr13	44574329	44578330	-0.6366625501252093	-0.9868689988103001
chr13	110711277	110715278	-0.8589459529786333	-0.9047046539310666
chr14	23152449	23156450	-0.7091853411061327	-0.7473999394244635
chr14	24112776	24116777	-0.7061772526457619	-0.6633264543930113
chr14	50361947	50365948	-0.37269333200225513	-0.2215789259150457
chr14	75659223	75663224	-0.8763400772962454	-1.0985269018146364
chr14	95514649	95518650	-0.9887287001544003	-1.0555267856785093
chr14	95532617	95536618	-0.890490953227173	-0.9514663556663664
chr15	32459983	32463984	-0.008709575783069638	0.042008668521127994
chr15	40438952	40442953	-0.35387910542864265	-0.22088214163878336
chr15	50352986	50356987	-0.7901163461369267	-0.9827684884321759
chr15	55915130	55919131	-0.9436016630362087	-0.7632452220361107
chr15	57217036	57221037	-1.0167757130724242	-0.7310058206866876
chr15	69296911	69300912	0.6661282084396819	0.37913841728355163
chr15	74172500	74176501	-0.7540633432644253	-0.6912689867062094
chr15	85617695	85621696	-0.8591720580703421	-0.7776509892285365
chr15	85748280	85752281	-0.9201854113350462	-0.9013218167966386
chr15	90869538	90873539	-0.7799731616017681	-0.7793349427182923
chr15	99249361	99253362	-1.0177327786852597	-0.7700454582260013
chr16	74354	78355	-0.9771347568030075	-0.9240954155135218
chr16	10578631	10582632	-0.42575663634822747	-0.5167155666905039
chr16	31063087	31067088	-0.8752447871549408	-0.9106295067413397
chr16	48383412	48387413	-0.71562260055547	-0.8980508534075164
chr16	66634484	66638485	-0.3611630381598707	-0.18082804278190187
chr16	67250735	67254736	-0.6926988490709644	-0.5357997773564902
chr16	69137671	69141672	-1.1236814546497895	-0.8402048964975688
chr16	75264006	75268007	-0.6119685460508154	-0.6040684731184267
chr17	1494460	1498461	-0.8469298441553487	-0.9324274576906395
chr17	15260588	15264589	-1.0927609829417213	-1.1513967268263485
chr17	17589707	17593708	-0.9566535043064708	-0.8888888072906616
chr17	28726787	28730788	-0.7433600966857846	-0.8770496938933686
chr17	29566700	29570701	-0.8151210166232535	-0.8770718994433013
chr17	39917853	39921854	-0.6234781151373374	-0.7907213184019066
chr17	47187294	47191295	-0.9420840454267159	-0.884272508478995
chr17	47488217	47492218	-0.42933421172019826	-0.4141015525779098
chr17	47939409	47943410	-0.7092830274978815	-0.6369500947199215
chr17	48588271	48592272	-0.9980962176442054	-0.6593632237364124
chr17	48590692	48594693	-0.771738298580455	-0.7121326406594831
chr17	50864353	50868354	-0.8482467863531779	-0.9671078075745924
chr17	59943190	59947191	-0.9067662888326959	-0.7875691805079463
chr17	67991551	67995552	-0.7094773972855696	-0.6442852152552913
chr18	5542309	5546310	-0.8870696687279981	-0.8075880716316384
chr18	31682722	31686723	-0.5187476465662821	-0.5815582332464361
chr19	1130220	1134221	-1.0635376904155325	-0.5286033037135297
chr19	2048886	2052887	-0.8697307486157699	-1.063690972780406
chr19	3060556	3064557	-0.6452126205481069	-0.34145746645823744
chr19	13021990	13025991	-0.8109190973512115	-0.8421454905814757
chr19	15123785	15127786	-0.7643930854466672	-0.9072985882833119
chr19	29713456	29717457	-0.7657460644375649	-0.7801491939758989
chr19	48632525	48636526	-0.679862232632531	-0.6273874520904575
chr19	53465732	53469733	-0.030871367621223278	-0.2124340419069571
chr19	55115636	55119637	-0.7507255908199955	-0.8443628404756166
chr19	56475373	56479374	-0.12809370838500755	0.03666430025636485
chr19	57557862	57561863	-0.6285269074423757	-0.5114669413927968
chr2	48528170	48532171	-0.63167726301222	-0.6746526229000518
chr2	53765803	53769804	-0.9041508191618453	-0.9342089839888584
chr2	55048543	55052544	-1.1244993157776246	-0.9311509895796128
chr2	62703651	62707652	-0.7439023853030474	-0.7201224727821832
chr2	62703741	62707742	-0.7472203834576947	-0.7304426483134805
chr2	64987398	64991399	-0.3378827246681373	-0.351240287516607
chr2	95787653	95791654	0.0199902546612945	0.03343953740087279
chr2	102734904	102738905	-0.6041204492182601	-0.47753054347026747
chr2	108532195	108536196	-0.995447688271518	-0.783653207076725
chr2	131756030	131760031	-0.040380531774405044	-0.14524071565812274
chr2	144330567	144334568	-0.7198506045431504	-0.7667497528261774
chr2	152333173	152337174	-0.6919650817786489	-0.6968308085651583
chr2	238846031	238850032	-0.7488615828140389	-0.8472680451290024
chr21	46633594	46637595	-0.8851608341652459	-0.9168565168936643
chr22	35838586	35842587	-0.9364482819823111	-0.850566705822756
chr22	38199931	38203932	-0.8055242571872588	-0.6020096443485289
