#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6612730	6614731	4.560596979058134	4.604407677625827
chr1	11802676	11804677	3.9647760923726256	3.196292252005474
chr1	14944918	14946919	4.237845553721829	3.749948800573265
chr1	17633256	17635257	1.3846745654587895	0.8607513722934413
chr1	23799780	23801781	3.6986693913064332	3.9040241688398902
chr1	26431281	26433282	3.1527291994136877	4.159939841073929
chr1	33348884	33350885	4.00623735948909	3.738241228193344
chr1	55214363	55216364	4.34130216451805	4.458534963881991
chr1	113758485	113760486	4.3690488299800965	4.586865218742557
chr1	113758488	113760489	4.36677031152864	4.585410738158143
chr1	115767780	115769781	-0.4805117024322949	-0.5899950634652766
chr1	146958970	146960971	0.049335650997795306	-0.3247711568321166
chr1	149831667	149833668	0.0	0.03460449293099422
chr1	153564843	153566844	3.537588369331292	2.5687756533360346
chr1	155982389	155984390	4.619671093914435	4.254800366934352
chr1	160126671	160128672	2.5187368990426	2.1308451022410204
chr1	160284153	160286154	3.4038240466447793	3.8249551524286685
chr1	161224938	161226939	2.4766115567538054	2.583449427268249
chr1	161748757	161750758	2.8153440809673405	2.8376028434884324
chr1	161748757	161750758	2.8153440809673405	2.8376028434884324
chr1	171256956	171258957	1.03178422026738	0.19677412086936727
chr1	173204723	173206724	0.48820983127106826	0.01927198609887966
chr1	201887707	201889708	1.2167923152487368	1.2149818542101731
chr1	219091266	219093267	0.25746843104392597	-0.3025073488811523
chr1	240284295	240286296	2.073022041201218	1.193685964606274
chr1	245153984	245155985	2.2276727700568166	2.024382114172101
chr1	246416408	246418409	0.49255796483144576	-0.2720583535702292
chr10	24465530	24467531	1.9350651793063762	0.878744369901142
chr10	29647274	29649275	3.5556279872592556	3.372479915857196
chr10	29734923	29736924	4.096572848073866	3.943227473406241
chr10	46029713	46031714	3.263728393190566	3.065582639406242
chr10	71964340	71966341	4.7047929360418	4.515807283812317
chr10	89644571	89646572	2.3468910680192625	3.188191749209718
chr10	91162011	91164012	2.901910605345465	2.5069352786011034
chr10	103677214	103679215	3.7161165036128727	3.5795822084244606
chr10	110004803	110006804	3.5340696075492586	2.5314448074965115
chr10	110206604	110208605	1.405728676064467	1.2978514633144818
chr10	119817726	119819727	0.22822771815015375	-0.07751175020012324
chr11	705714	707715	3.5232281233623026	2.830911151704455
chr11	7575766	7577767	2.3789197650004925	2.1079576276459933
chr11	8725318	8727319	-0.15830653791863916	-0.6231451249280162
chr11	9572669	9574670	4.085381549164327	3.8970244441174597
chr11	10454319	10456320	1.84163380119792	0.2715457427163426
chr11	36375380	36377381	0.8375051542910088	1.0311624282429368
chr11	36375380	36377381	0.8375051542910088	1.0311624282429368
chr11	58574882	58576883	3.124900498896476	3.0114621745930417
chr11	62600274	62602275	3.8130284158998604	3.4481368729206228
chr11	62727111	62729112	4.696403781578394	4.607204032676384
chr11	64244963	64246964	4.1905226112793095	4.200395298464862
chr11	65381372	65383373	4.078983690590174	4.10008879437082
chr11	71478293	71480294	-0.6913517846452845	-0.6270080488945696
chr11	75524940	75526941	1.0391052783870571	1.11199735967632
chr11	86955237	86957238	3.6970582564032757	4.134238777052616
chr11	110092110	110094111	4.023250191189279	3.6760986416454653
chr11	111878540	111880541	2.5195835977122525	2.77243163428832
chr11	111976308	111978309	2.4739077505966365	2.444210911956843
chr11	112016573	112018574	4.235148473154448	4.394353287986135
