#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6613856	6616857	3.7272827179747736	4.543351042765812
chr1	14923129	14926130	2.0896654756236566	2.5465888859181245
chr1	23798401	23801402	2.138707961100171	2.357445356099132
chr1	45337954	45340955	2.018656719663167	2.91838546384414
chr1	55213361	55216362	3.7964092306755504	4.585399321802549
chr1	87128764	87131765	1.1760946867995714	1.777728747853522
chr1	113756062	113759063	2.331062471572447	3.376561843154684
chr1	113757887	113760888	3.024826634145339	3.673837505970485
chr1	146958858	146961859	0.03902035182970677	-0.43756348017810465
chr1	149831669	149834670	0.021071779993244878	0.027639746486297443
chr1	153564754	153567755	-0.09247045448894774	-0.25865618315393346
chr1	155981604	155984605	1.9953073767088345	2.3326476061486066
chr1	160127395	160130396	-0.42887547144554233	-0.6100441120534017
chr1	160282230	160285231	2.268592052318888	3.7343612253270497
chr1	161724900	161727901	2.623085403114562	2.9958131618181394
chr1	171267995	171270996	-0.1689810666230287	-0.6463760720224939
chr1	184567398	184570399	-0.3462544945180787	-0.31141138329566154
chr1	201738316	201741317	2.774297161042522	4.167101019561492
chr1	201738867	201741868	2.9994850825047896	4.704041305051563
chr1	201887679	201890680	1.741659701406777	2.2223188456834375
chr1	245153494	245156495	4.428343810537404	4.9526037283672615
chr1	246505311	246508312	2.1579312027043236	2.764609468647345
chr10	29734780	29737781	3.8055607915587366	4.888183904342002
chr10	31318446	31321447	4.952104657160328	5.474558153811437
chr10	46021454	46024455	1.9580410630957608	3.4972335694902315
chr10	69179233	69182234	2.6944673265882555	3.279295463700104
chr10	71963394	71966395	3.704211233223301	4.534562715184472
chr10	91219662	91222663	2.3294966674614743	2.6902338893601834
chr10	102448815	102451816	1.8535385211533197	2.66312664929062
chr10	110006963	110009964	3.714187253506023	4.7347085807213025
chr10	110224992	110227993	2.7383156205685446	3.1374767620515622
chr10	132305949	132308950	2.398686331139132	3.3380907784480147
chr11	693531	696532	2.7583795100678925	3.4307796367566565
chr11	807752	810753	3.024788381584265	4.080665507719166
chr11	841811	844812	3.907281087268128	4.141782877796302
chr11	7564624	7567625	-0.326593699241216	-0.8179397018794083
chr11	10292206	10295207	2.641861775838019	3.072936384290983
chr11	36299960	36302961	-0.4136179000325831	0.31297682145129313
chr11	57309468	57312469	1.2129381731050353	3.10123981585495
chr11	58576165	58579166	2.143754539826097	3.181018263319152
chr11	62599864	62602865	3.5238342703964105	3.655461533876858
chr11	65380673	65383674	0.33224968530630855	1.0739709532454815
chr11	66905900	66908901	-0.026412900728224265	1.0112792067625853
chr11	86953966	86956967	3.8602095507787664	5.335121226893578
chr11	107856807	107859808	2.632807537357982	2.6154650225533462
chr11	110092391	110095392	2.7816713112653644	3.2189736800049196
chr11	111843390	111846391	-0.525459183443872	-0.27685513250404054
chr11	111877934	111880935	1.8031922225337988	2.3610032049160994
chr11	111922682	111925683	0.08750284764919691	0.45595325537745685
chr11	112016303	112019304	0.09531796232147341	0.7807631761143502
chr12	1795659	1798660	1.4810168300868107	1.5450975498635005
chr12	3751199	3754200	1.3679205630156297	1.58587765178527
chr12	26194339	26197340	1.3318399651169026	1.9762029405515698
chr12	27381383	27384384	-0.2726785727394725	-0.09210878294450492
chr12	29222664	29225665	0.18151648165553744	2.2406391992748373
chr12	32501042	32504043	0.49922031412021106	1.1913120498234282
chr12	53250585	53253586	1.962936897129309	2.808891030277466
chr12	59663676	59666677	1.039041050782648	2.4097190863404863
chr12	104600487	104603488	-0.6193442072624404	-0.48640477843294866
chr12	116909964	116912965	2.5155770156799937	2.8506462948775355
chr12	122833452	122836453	2.0179796463399655	2.5767004744777107
chr13	23179951	23182952	0.048117066874775294	0.7997817751647075
chr13	23887841	23890842	1.7969778297044448	2.184638424775676
chr13	41258585	41261586	-0.03849257460128722	-0.5748934573173262
chr13	44434844	44437845	2.884154521757689	4.159083713242483
chr13	110713981	110716982	3.907200454981932	4.980834560758874
chr14	50394075	50397076	1.8486491465414248	1.8033609650554012
chr14	73568058	73571059	3.658298088676787	5.0012159974727215
chr14	95479761	95482762	-0.002478052723104398	0.46982201089472186
chr14	95532888	95535889	3.69118243346439	4.509206413330751
