#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6611730	6613481	0.4519496794955099	0.5856738242214934
chr1	11803926	11805677	1.3790451013217322	1.049639576046164
chr1	14943918	14945669	1.6362070216800013	1.590560897643635
chr1	17632256	17634007	1.621975796509507	1.851198474180351
chr1	23801030	23802781	0.9276520045727034	1.2576750643401424
chr1	26430281	26432032	0.7224236708499221	1.4983106482059798
chr1	33350134	33351885	0.8945061473197345	1.1754801474704601
chr1	55215613	55217364	0.5038628821995003	0.5562975299239427
chr1	113759735	113761486	0.3105293172141145	0.9041785531622774
chr1	113759738	113761489	0.309105020321168	0.9007286395745318
chr1	115769030	115770781	0.002931902609397844	0.3188645210785769
chr1	146957970	146959721	-0.0004542303801375809	0.009549916217063366
chr1	149830667	149832418	0.0	0.0
chr1	153566093	153567844	2.0932773751943725	1.9268574672530712
chr1	155983639	155985390	1.3304681421211282	1.553470202607551
chr1	160125671	160127422	1.4758742414443666	1.3039653664789903
chr1	160285403	160287154	1.047593671850159	0.9336290386088587
chr1	161223938	161225689	0.9712482946474176	1.172200518451844
chr1	161747757	161749508	0.34615809752374305	0.6058353665542462
chr1	161747757	161749508	0.34615809752374305	0.6058353665542462
chr1	171255956	171257707	0.9820953874095109	1.1924050027891835
chr1	173205973	173207724	1.2581343966552085	1.3214184855271038
chr1	201886707	201888458	0.8046971752112797	0.658505320837353
chr1	219092516	219094267	-0.4556482421878076	-0.7965889704953509
chr1	240283295	240285046	0.7258648661725822	0.4742665447978773
chr1	245152984	245154735	1.359183179249701	1.3445292173871013
chr1	246417658	246419409	0.4496199820933674	0.3086543203173124
chr10	24464530	24466281	1.2800698650853621	1.12151733581951
chr10	29648524	29650275	1.101316385451461	1.423060068922536
chr10	29736173	29737924	0.5076624933206851	0.0903023738914267
chr10	46030963	46032714	0.29864778012917315	-0.048144666757806924
chr10	71963340	71965091	0.7757497392703694	0.6403862140735102
chr10	89645821	89647572	0.8770136207008753	1.0906240951707757
chr10	91161011	91162762	0.3205460260363491	0.4172363702048741
chr10	103678464	103680215	1.3206692576212156	1.5761404530219598
chr10	110003803	110005554	1.1772988644550353	0.5529596692878942
chr10	110205604	110207355	0.4127100603859285	0.43322580030481
chr10	119816726	119818477	0.3166164923039419	0.2915167141502135
chr11	706964	708715	1.712314591616183	1.0818860031621569
chr11	7574766	7576517	1.861070658500872	1.2335790086370024
chr11	8726568	8728319	1.0521540584276508	0.7862569530101452
chr11	9571669	9573420	0.7392644865862783	0.3811164373240905
chr11	10453319	10455070	0.25440236496669855	-0.05758472634630521
chr11	36374380	36376131	0.5549490826096354	0.06674512204682738
chr11	36374380	36376131	0.5549490826096354	0.06674512204682738
chr11	58576132	58577883	0.6267581596506507	0.8884421665523435
chr11	62601524	62603275	1.105099301136837	0.32908040814738204
chr11	62726111	62727862	-0.9525383337258403	-0.5734767014192101
chr11	64243963	64245714	1.5763464929050972	2.166215962220212
chr11	65382622	65384373	1.5265706609173042	1.929324958215263
chr11	71477293	71479044	-0.44781208203325634	-0.5145280907743343
chr11	75526190	75527941	0.4085265181809248	0.255607426496926
chr11	86956487	86958238	0.5511451203073321	0.685497816086264
chr11	110091110	110092861	0.31787627368137206	0.8425887887100708
chr11	111877540	111879291	0.27907229458220073	0.034718419217036535
chr11	111975308	111977059	0.9844081511635101	1.2372594906356524
chr11	112015573	112017324	1.060148692088592	1.2032802678990318
chr11	119009206	119010957	0.17135345266628388	-0.010137867185872215
chr12	1797579	1799330	0.3396343559654463	0.12497150907991604
chr12	26193495	26195246	-0.035445554217913566	0.07279764620358396
chr12	29147102	29148853	1.0426948922976467	0.8535175736555908
chr12	32532323	32534074	1.09795286376135	0.6252347321298384
chr12	46385168	46386919	1.1304352149959533	1.2029302261095722
chr12	53250095	53251846	1.0172206196946123	1.0257302387819487
chr12	55972073	55973824	0.3839555988907033	0.6188038715041272
chr12	104454970	104456721	1.3193167702385273	0.8403158447373786
chr12	116908949	116910700	-0.12846152097708624	-0.04888783609093783
chr12	122833456	122835207	0.6533949432901033	0.8099722949467033
chr12	132708818	132710569	1.3709599445948022	1.1943839749150327
chr13	23158507	23160258	0.9021005405746789	1.1171266328628902
chr13	44576579	44578330	-0.06936898242559449	-0.6035847813336535
chr13	110711277	110713028	0.05158390301854248	0.1359377311667841
chr14	23154699	23156450	1.0162935586949122	1.7171987084781422
chr14	24112776	24114527	0.20301642839046855	0.27868908589858693
chr14	50364197	50365948	0.5918122252254349	-0.32322504266755614
chr14	75659223	75660974	1.0075700988126208	0.6310741414821003
chr14	95516899	95518650	1.501477709558848	1.4237771583531753
chr14	95534867	95536618	0.7595049962569089	0.4580896030079631
chr15	32462233	32463984	0.01647744677122629	0.0
chr15	40438952	40440703	0.9418138096889771	0.9103529187442514
chr15	50352986	50354737	-0.29026756897905603	-0.4292294248121593
chr15	55917380	55919131	0.7287264508916232	0.8464314507081301
chr15	57217036	57218787	1.0523007643708584	1.5174946593546261
chr15	69296911	69298662	0.35848431116741614	0.37405225816190146
chr15	74172500	74174251	1.2069402921466916	1.444714387583613
chr15	85617695	85619446	1.236870139055338	1.2608497971533992
chr15	85750530	85752281	1.654341097909995	2.158604282573044
chr15	90869538	90871289	1.1163824906046262	1.3766373004375732
chr15	99249361	99251112	-0.2650371978515764	0.1659101065931936
chr16	76604	78355	1.0951960853250897	1.4427724878560604
chr16	10580881	10582632	0.8210172586759499	0.9396814315621099
chr16	31065337	31067088	1.0136124143338714	0.845500239014934
chr16	48385662	48387413	0.6023048010159818	0.3742234187463038
chr16	66636734	66638485	0.4227454625559425	0.48980533618948147
chr16	67250735	67252486	0.6146822209905584	0.5482090043241482
chr16	69137671	69139422	-0.07731040154345377	0.2182529434212816
chr16	75266256	75268007	1.7780574773257964	1.4390541733774982
chr17	1496710	1498461	1.1309355325917032	1.3851579499604316
chr17	15262838	15264589	0.22749441707322873	0.26826988283906333
chr17	17591957	17593708	0.845788542398636	1.0989102202659693
chr17	28726787	28728538	0.9573982557146754	1.2775175846087166
chr17	29566700	29568451	0.3809156062545569	-0.3081675262059027
chr17	39920103	39921854	1.0859499897631502	1.4175231328524607
chr17	47189544	47191295	0.13112315480580203	0.23448729989237677
chr17	47490467	47492218	0.8301558445229394	0.6936918428123835
chr17	47941659	47943410	1.0762972956674166	1.202677713545961
chr17	48590521	48592272	0.892963790131051	0.7337988393933955
chr17	48592942	48594693	0.8157053772617516	0.9741132577746245
chr17	50866603	50868354	-0.4928643195098171	-0.15983837651314164
chr17	59943190	59944941	-0.011465100825251418	0.052294045711751475
chr17	67993801	67995552	0.8282195684927202	0.90653682875594
chr18	5544559	5546310	0.9627287879390488	0.6927742655790581
chr18	31684972	31686723	0.33776469587394675	0.4725382549976499
chr19	1132470	1134221	1.7697491344175482	2.006672746898802
chr19	2051136	2052887	1.1711141422461522	1.322672180971348
chr19	3062806	3064557	0.5474365724804268	0.38877819533326774
chr19	13021990	13023741	0.07767835651602363	1.1868594936894095
chr19	15126035	15127786	1.1533159654277514	1.1310539513763296
chr19	29715706	29717457	0.8112402226913924	1.2342205362861067
chr19	48634775	48636526	1.7145510733850449	1.914080827578261
chr19	53465732	53467483	0.3776873754102214	0.3705120619461399
chr19	55117886	55119637	0.4861034961407869	0.831274258348344
chr19	56477623	56479374	0.2525769783250949	0.6515500473336177
chr19	57560112	57561863	0.290348342201309	0.5257201319791369
chr2	48528170	48529921	0.9586270400545269	0.49363861733714454
chr2	53765803	53767554	0.46082286717457815	0.7525208837124892
chr2	55050793	55052544	0.3422245737262203	0.87560026724634
chr2	62703651	62705402	0.6668204410742452	0.7117450931617121
chr2	62703741	62705492	0.6296800511626692	0.6647039266654161
chr2	64987398	64989149	0.26140692680408356	0.5953763369554058
chr2	95787653	95789404	0.0	0.0
chr2	102734904	102736655	1.127668051643255	0.904013916815549
chr2	108534445	108536196	-0.6473208851067306	-0.3484605194623883
chr2	131756030	131757781	-0.39052635269798275	-0.422289177252263
chr2	144332817	144334568	0.8863749789067118	1.160163529283572
chr2	152333173	152334924	0.21339569379497866	0.31260933749327413
chr2	238846031	238847782	0.3699230512072675	0.30015031128514064
chr21	46633594	46635345	0.7394377582557866	0.4100405216201021
chr22	35840836	35842587	0.5493563809248904	0.7509550233072608
chr22	38199931	38201682	-0.019509811366445813	0.29839435597512426
chr22	50341303	50343054	0.8158695883684758	0.7021436749673384
chr3	12286837	12288588	0.09963001718959077	0.23062740344766067
chr3	12967917	12969668	0.7843617884501719	0.6437479182815001
chr3	29278981	29280732	1.1579918645613418	1.3310388078150377
chr3	38030011	38031762	1.8605390202631877	1.0107167161587893
chr3	51940936	51942687	0.48156596724673933	-0.024677327167248145
chr3	52285819	52287570	0.8651291575418849	1.0382636610059257
chr3	55481642	55483393	1.48371040520319	1.68736367740337
chr3	71131636	71133387	0.9979458201875469	0.5007623228022564
chr3	126264746	126266497	1.6973928659848978	1.367850320085382
chr3	136196584	136198335	0.6014601314384617	0.733249466736476
chr3	136928469	136930220	0.8311705728819802	0.8278384846715415
chr3	156751904	156753655	0.4862657169045113	0.42294311798964057
chr3	157437202	157438953	-0.03511166188916084	0.1975123082305537
chr3	157487698	157489449	1.373620936254405	0.8159962205998653
chr3	171771634	171773385	1.0726277681722924	0.9018266638577892
chr3	187745974	187747725	0.2822869624714145	0.47520298678613776
chr3	193616826	193618577	0.31311784658977615	0.19663371512610092
chr3	194633670	194635421	1.0587165707379214	1.0766137786902656
chr3	196710670	196712421	0.3982915764561098	1.064367029373513
chr4	53508425	53510176	0.9580493344807924	0.3232155984180176
chr4	70719963	70721714	0.17165335331532772	0.35042872212477544
chr4	73259047	73260798	0.011289103701472895	0.2742291956476182
chr4	122923217	122924968	0.8712703556530211	0.6468664113790469
chr4	150510838	150512589	0.4779278776685468	0.29879264438757436
chr4	168629616	168631367	1.051666809216847	0.5910637820976833
chr5	7869286	7871037	0.2888572982622513	0.6090293612210885
chr5	14438818	14440569	1.2423862712682103	1.7164502681617226
chr5	43067685	43069436	1.5691691325670143	1.591556937436564
chr5	96693784	96695535	0.3178378568688955	0.15730490908614894
chr5	119354018	119355769	1.1044921875520617	1.3276400978269587
chr5	132385812	132387563	1.3036339490355275	1.7322045157488912
chr5	138033335	138035086	0.9785667193421719	1.0588577031152124
chr5	142621591	142623342	1.3109033975265756	0.6329697017991338
chr5	180810099	180811850	0.38218586728470877	0.39153607867909185
chr5	180829364	180831115	1.4269312704703163	0.7110250242637404
chr6	18264516	18266267	-0.06287624917104183	-0.07979255533636481
chr6	30327399	30329150	0.7706058228721135	1.0777896649533054
chr6	33078385	33080136	0.025826235215096117	0.5851615372393558
chr6	56851966	56853717	0.7184634086133955	0.44549048166790517
chr6	109009804	109011555	0.7598859889380664	0.9327342018680801
chr6	111606527	111608278	0.8844534143849057	1.285240705170181
chr6	136036290	136038041	1.1872095038894284	1.5453755257331268
chr7	1042545	1044296	0.9326753818492611	1.2351542903045245
chr7	40813632	40815383	0.12004016936836542	0.0646448175343347
chr7	66532126	66533877	0.8607429452236713	0.977544899442076
chr7	94392445	94394196	0.7504333523069722	0.9464065629642123
chr7	99437375	99439126	1.1146119600542048	0.5898015115219989
chr7	128406197	128407948	1.7089927998413126	1.7111187436781137
chr8	9150907	9152658	0.7810539536093762	1.2399413429878203
chr8	61714889	61716640	0.6609124350957075	1.0653669978708311
chr8	73459036	73460787	1.5587575683532235	1.2651465613276458
chr8	119639088	119640839	1.0338893865006786	0.9795647558136095
chr8	129971239	129972990	0.803094795458493	0.6112286588544709
chr8	144104486	144106237	0.6421456710057283	0.7640071838396335
chr9	691679	693430	1.1858714922236882	1.019651294695693
chr9	13141192	13142943	1.1800546530461082	1.094344196671357
chr9	22644199	22645950	0.7434260867210433	1.2165341007700292
chr9	65194005	65195756	0.014815381958354336	0.0013251911265467133
chr9	113591485	113593236	0.9335664727423763	1.3068983687557387
chr9	127422373	127424124	0.8998638636465095	1.3680363987420217
chr9	127801207	127802958	0.9551728316164275	1.2270728898456083
chrX	7145976	7147727	0.8091739947752536	1.3639158238072533
chrX	15673714	15675465	0.561538748719204	0.6018654576102235
chrX	19671247	19672998	0.8879166399062562	0.48275746462042124
chrX	109535117	109536868	-0.3666361505921905	0.15131163580287
chrX	110085872	110087623	0.588077351666676	0.4012712191721636
chrX	115042773	115044524	0.5694478964683057	0.07296355389714115
chrX	136145464	136147215	0.14087154215134345	-0.27030453914781766
chrX	136195025	136196776	0.8448452665407185	0.9724086612562115
chrX	136767592	136769343	0.44459533309353433	0.6192993633482868
chrX	149541208	149542959	0.40584046036434535	0.6189906564538815
chrX	155334906	155336657	0.17989920672060167	0.09025628535424826
