cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_12982_+	Success	62.9757351935768	19	8.47466624413799e-18	1.16844460841053e-15	LINC01128
chr1:clu_12983_+	Success	0.376821277011913	2	0.68603867382171	0.837441576077508	LINC01128
chr1:clu_12984_+	Not enough valid samples	NA	NA	NA	NA	LINC01128
chr1:clu_12985_+	Not enough valid samples	NA	NA	NA	NA	SAMD11
chr1:clu_12986_+	Not enough valid samples	NA	NA	NA	NA	SAMD11
chr1:clu_12987_+	Not enough valid samples	NA	NA	NA	NA	SAMD11
chr1:clu_12988_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_12989_+	Not enough valid samples	NA	NA	NA	NA	SAMD11
chr1:clu_12990_+	Success	0.159622054826372	1	0.572062261818499	0.754820037728727	KLHL17
chr1:clu_12991_+	Not enough valid samples	NA	NA	NA	NA	KLHL17
chr1:clu_12992_+	Not enough valid samples	NA	NA	NA	NA	KLHL17
chr1:clu_12993_+	Not enough valid samples	NA	NA	NA	NA	KLHL17
chr1:clu_12994_+	Not enough valid samples	NA	NA	NA	NA	AGRN
chr1:clu_12995_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_12996_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_12997_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_12998_+	Success	0.0726774465636026	1	0.703014510169362	0.849058906429578	AGRN
chr1:clu_12999_+	Not enough valid samples	NA	NA	NA	NA	AGRN,AL645608.5
chr1:clu_13000_+	Not enough valid samples	NA	NA	NA	NA	LINC01786
chr1:clu_13001_+	Not enough valid samples	NA	NA	NA	NA	LINC01786
chr1:clu_13002_+	Not enough valid samples	NA	NA	NA	NA	SCNN1D
chr1:clu_13003_+	Not enough valid samples	NA	NA	NA	NA	SCNN1D
chr1:clu_13004_+	Not enough valid samples	NA	NA	NA	NA	SCNN1D
chr1:clu_13005_+	Not enough valid samples	NA	NA	NA	NA	PUSL1
chr1:clu_13006_+	Success	0.682464255392006	1	0.242685150533234	0.449474026100533	PUSL1
chr1:clu_13007_+	Success	4.45621278247927	4	0.063326090473304	0.190629049618969	PUSL1
chr1:clu_13008_+	Success	5.71314214479935	2	0.00330227998410696	0.0223602942107598	CPTP
chr1:clu_13009_+	Success	0.00040028729495134	1	0.977427325563623	1	ATAD3B
chr1:clu_13010_+	Success	7.38445633695937	1	0.000121522474401607	0.00155984726672721	ATAD3B
chr1:clu_13011_+	Success	0.6471155672225	1	0.255269668215508	0.463885403772836	ATAD3B
chr1:clu_13012_+	Not enough valid samples	NA	NA	NA	NA	AL645728.2
chr1:clu_13013_+	Success	2.08764496055301	2	0.123978767168271	0.295076587613832	ATAD3A
chr1:clu_13014_+	Success	1.09657949673851	2	0.334011619817274	0.546385889490392	ATAD3A
chr1:clu_13015_+	Success	2.18831997435609	1	0.0364347540868628	0.13111440879037	ATAD3A
chr1:clu_13016_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_13017_+	Success	-0.00742673957847728	2	1	1	MRPL20-AS1
chr1:clu_13018_+	Success	0.00289324776599642	1	0.939364188585026	0.995640753513013	MRPL20-AS1
chr1:clu_13019_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_13020_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VWA1
chr1:clu_13021_+	Success	1.18862523283079	1	0.123114065113554	0.29377461899565	ATAD3B
chr1:clu_13022_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ATAD3A
chr1:clu_13023_+	Success	2.20977263058558	3	0.219579916101413	0.423145680343656	ATAD3B
chr1:clu_13024_+	Success	10.0665065677185	2	4.24787516718384e-05	0.000641533441797495	ATAD3B
chr1:clu_13025_+	Success	2.66507160903348	2	0.0695943697692754	0.203223946121034	ATAD3A
chr1:clu_13026_+	Success	0.560801880471899	1	0.289573384662725	0.501276320771003	MIB2
chr1:clu_13027_+	Not enough valid samples	NA	NA	NA	NA	MIB2
chr1:clu_13028_+	Success	1.29075808116249	2	0.2750621845718	0.486504967048715	MIB2
chr1:clu_13029_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MIB2
chr1:clu_13030_+	Success	4.05536870943433	3	0.0437776863412521	0.148275820944264	MIB2
chr1:clu_13031_+	Success	2.63245023521449	7	0.627671174727917	0.795677004954698	MIB2
chr1:clu_13032_+	Success	0.224537250980831	1	0.502774786570405	0.699654446098823	MIB2
