#'chr'	'start'	'end'	'White_Adi.'	'Beige_Adi.'
chr1	6614606	6615107	0.9879027129171375	1.0
chr1	14923879	14924380	1.0	1.232635924440182
chr1	23800151	23800652	10.138703020508894	9.959925362211978
chr1	45339704	45340205	3.5236492885087065	2.7385242418376747
chr1	55215111	55215612	3.6102584983536343	4.546580646328345
chr1	87129514	87130015	8.568082090861306	4.673225932135553
chr1	113757812	113758313	2.8870512920463396	1.9734494427958886
chr1	146959608	146960109	1.209633126944125	1.3541546271232787
chr1	149832419	149832920	9.322785969503864	6.696686027054777
chr1	153566504	153567005	4.7176490152429436	5.389140339906582
chr1	155983354	155983855	10.09913775069033	8.460605615389323
chr1	160128145	160128646	3.466279172492836	2.0753042286265635
chr1	160283980	160284481	52.42150846212924	68.41577208779768
chr1	161196853	161197354	3.496642146519796	2.9167792323582664
chr1	161725650	161726151	10.38425398158456	16.112171630897446
chr1	171268745	171269246	0.8682634749574337	1.0
chr1	201739066	201739567	23.79326787061558	48.67799880166729
chr1	201888429	201888930	5.207310959845484	3.440794414388919
chr1	245154244	245154745	1.406250698004892	4.842856884954457
chr1	246507061	246507562	1.8039692873488404	2.309707291944774
chr10	29736530	29737031	1.186886854038505	1.27412734821647
chr10	31320196	31320697	2.895947597578852	1.4021377872802063
chr10	71964144	71964645	1.6306241302195186	1.762825905681846
chr10	91220412	91220913	1.2782138586044312	1.2408513273307664
chr10	96129805	96130306	4.818962260634599	2.92128950964191
chr10	102449565	102450066	2.125331494801059	3.393335378336573
chr10	110007713	110008214	2.5423723123744577	2.0674964298983056
chr10	110225742	110226243	2.772633295811103	1.95616178455467
chr10	132307699	132308200	1.6003934109282352	0.92814580956381
chr11	695281	695782	0.8802831775532987	0.5222710489988803
chr11	842561	843062	1.2108386734764496	0.7397881946163977
chr11	7565374	7565875	1.9592488759054156	1.1176102775299621
chr11	9829417	9829918	0.8742514979577588	1.1770772938718814
chr11	10293956	10294457	0.9965069860279441	0.9130305401579348
chr11	10366926	10367427	37.80699176845436	22.652240542832487
chr11	36300710	36301211	32.87127501759938	49.459663180296054
chr11	57311218	57311719	34.781233224088325	34.81624146231158
chr11	61332973	61333474	8.191910470555166	5.9345165165122635
chr11	62601614	62602115	2.9760780807978615	2.167457156195612
chr11	64246714	64247215	8.625211260751811	10.990470782963339
chr11	65382423	65382924	11.454474169337107	8.563111375667853
chr11	66907650	66908151	57.679081869220546	64.56913634736144
chr11	86955716	86956217	6.154178236772914	9.110505515229915
chr11	107858557	107859058	4.6047431884887455	3.0131819454614748
chr11	110093141	110093642	0.9278007748122225	1.289088573284492
chr11	111845140	111845641	3.5374263634462793	3.7990414411008
chr11	111878684	111879185	4.458197850786045	7.747432931692538
chr11	111923432	111923933	5.38210723354312	5.159740566017623
chr11	112017053	112017554	2.8664573423876734	1.6469854805283917
chr11	134253102	134253603	3.92921318765172	7.243793028795315
chr12	3752949	3753450	1.9454174160719393	3.34208379772133
chr12	26195089	26195590	3.7179122783407244	3.3993515166455874
chr12	27382133	27382634	9.475959927735929	6.755709085754767
chr12	29223414	29223915	1.1734043823744722	1.6177397726062768
chr12	48814642	48815143	3.007220819919647	3.057215014855543
chr12	53170125	53170626	1.1026254790033885	2.0330630995318324
chr12	53251335	53251836	13.4955719835506	26.012933725368477
chr12	59664426	59664927	0.7860384537669237	1.4466097890259977
