cluster_id	annotation	chr	start	end	strand	deltapsi	p.adjust	transcript_ids	min_intron_number	mode_intron_number	gene	biotype	genes_in_cluster	is_first_intron	condition	conditions	num_introns
clu_10104_-	gencode	chr9	123401912	123403402	-	-0.107676996494803	0.0143718271040346	ENST00000394215.6,ENST00000373620.7,ENST00000475421.1	1	1	DENND1A	protein_coding,lncRNA	DENND1A	TRUE	white	white	1
clu_10181_-	gencode	chr9	128266325	128267458	-	-0.113021360989235	8.76064936296707e-15	ENST00000458730.2	5	5	GOLGA2	protein_coding	GOLGA2	FALSE	white	white	1
clu_10209_-	gencode	chr9	129108077	129110483	-	0.107481511261614	2.10437912519545e-08	ENST00000393384.3,ENST00000318080.7	1	1	CRAT	protein_coding	CRAT	TRUE	beige	beige	1
clu_10638_+	gencode	chr12	26195951	26224293	+	-0.122267691299583	0.0187023119248151	ENST00000535504.1,ENST00000242729.6	1	1	SSPN	protein_coding	SSPN	TRUE	white	beige&white	2
clu_10638_+	gencode	chr12	26195531	26224293	+	0.105631335135592	0.0187023119248151	ENST00000422622.3,ENST00000544231.1	1	1	SSPN	protein_coding,lncRNA	SSPN	TRUE	beige	beige&white	2
clu_10654_+	gencode	chr12	27380404	27385481	+	-0.191805857793516	1.08434722708475e-07	ENST00000395901.6,ENST00000542388.1,ENST00000311001.9,ENST00000261178.9,ENST00000457040.6,ENST00000266503.9,ENST00000544915.5,ENST00000546179.5	2	3	ARNTL2	protein_coding	ARNTL2	FALSE	white	beige&white	2
clu_10654_+	fantom_cat	chr12	27382504	27385481	+	0.191805857793516	1.08434722708475e-07	HBMT00000302414.1,HBMT00000302413.1	1	1	ENSG00000029153.10	NA	ARNTL2	TRUE	beige	beige&white	2
clu_10672_+	gencode	chr12	29149407	29270412	+	-0.24550256907998	1.38753180538398e-62	ENST00000547411.1,ENST00000536681.8	1	1	FAR2	lncRNA,protein_coding	FAR2	TRUE	white	beige&white	2
clu_10672_+	gencode	chr12	29223894	29270412	+	0.241278088736009	1.38753180538398e-62	ENST00000182377.8	1	1	FAR2	protein_coding	FAR2	TRUE	beige	beige&white	2
clu_10734_+	gencode	chr12	48119406	48122767	+	-0.112540114551923	1.37435874377771e-28	ENST00000548720.5,ENST00000546964.5,ENST00000548345.5,ENST00000551548.5,ENST00000359794.11,ENST00000552989.5,ENST00000547066.5,ENST00000551485.5,ENST00000629846.2	1	1	PFKM	retained_intron,protein_coding,lncRNA,nonsense_mediated_decay	PFKM	TRUE	white	white	1
clu_1074_-	gencode	chr22	50573715	50574335	-	0.204978818089768	1.9311465228061e-09	ENST00000360719.6,ENST00000395650.6,ENST00000405237.7,ENST00000492556.5,ENST00000312108.11,ENST00000453634.5,ENST00000457250.5	7	8	CPT1B,CHKB-CPT1B	protein_coding,retained_intron,nonsense_mediated_decay	CPT1B,CHKB-CPT1B	FALSE	beige	beige&white	2
clu_1074_-	gencode	chr22	50573921	50574335	-	-0.11232959566676	1.9311465228061e-09	ENST00000423069.1	3	3	CPT1B	nonsense_mediated_decay	CPT1B,CHKB-CPT1B	FALSE	white	beige&white	2
clu_10741_+	gencode	chr12	48815728	48823344	+	0.105814693977053	7.44732450924689e-08	ENST00000548874.5,ENST00000551716.5,ENST00000536187.6	1	1	CACNB3	nonsense_mediated_decay,retained_intron,protein_coding	CACNB3	TRUE	beige	beige	1
clu_10840_+	gencode	chr12	53252268	53252818	+	-0.181234589842461	7.05338872321653e-14	ENST00000329548.4	1	1	MFSD5	protein_coding	MFSD5	TRUE	white	beige&white	2
clu_10840_+	gencode	chr12	53252035	53252818	+	0.178884949129912	7.05338872321653e-14	ENST00000534842.1,ENST00000551660.2	1	1	MFSD5	protein_coding	MFSD5	TRUE	beige	beige&white	2
clu_10876_+	gencode	chr12	55719223	55719499	+	-0.175589394836845	9.54578451159947e-81	ENST00000547076.5,ENST00000548556.1,ENST00000553100.1,ENST00000548925.5	2	2	BLOC1S1	protein_coding,nonsense_mediated_decay	BLOC1S1,AC009779.3,RDH5	FALSE	white	white	1
clu_10891_+	gencode	chr12	55979474	55986869	+	0.102824915659525	0.000747142707028244	ENST00000548068.5	2	2	RAB5B	protein_coding	RAB5B	FALSE	beige	beige&white	2
clu_10891_+	gencode	chr12	55974139	55986869	+	-0.216068823470692	0.000747142707028244	ENST00000360299.10,ENST00000448789.2,ENST00000549505.5,ENST00000546810.1	1	1	RAB5B	protein_coding,nonsense_mediated_decay,retained_intron	RAB5B	TRUE	white	beige&white	2
clu_10973_+	gencode	chr12	59664943	59704772	+	0.301756742662787	3.04378198874178e-23	ENST00000548610.5	1	1	SLC16A7	protein_coding	SLC16A7	TRUE	beige	beige&white	2
clu_10973_+	gencode	chr12	59655250	59704772	+	-0.307768624183267	3.04378198874178e-23	ENST00000549465.5,ENST00000547379.6	2	2	SLC16A7	protein_coding	SLC16A7	FALSE	white	beige&white	2
clu_10994_+	gencode	chr12	63780129	63781019	+	-0.106000288445813	0.00092146447946983	ENST00000536219.5,ENST00000543342.5,ENST00000261234.11	1	1	RXYLT1	retained_intron,nonsense_mediated_decay,protein_coding	RXYLT1	TRUE	white	beige&white	2
clu_10994_+	gencode	chr12	63780462	63781019	+	0.104896879555762	0.00092146447946983	ENST00000537373.5,ENST00000537982.5	1	1	RXYLT1	protein_coding,lncRNA	RXYLT1	TRUE	beige	beige&white	2
clu_1114_-	gencode	chr11	691598	706572	-	-0.132309622278944	0.0001577781209442	ENST00000525626.5	1	1	DEAF1	lncRNA	DEAF1	TRUE	white	beige&white	2
clu_1114_-	gencode	chr11	691598	694759	-	0.167583003156389	0.0001577781209442	ENST00000382409.3	1	1	DEAF1	protein_coding	DEAF1	TRUE	beige	beige&white	2
clu_11204_+	gencode	chr12	104457514	104601906	+	-0.112248227957503	1.7641244372341e-09	ENST00000546689.1,ENST00000549260.5	1	1	CHST11	protein_coding	CHST11	TRUE	white	beige&white	2
clu_11204_+	fantom_cat	chr12	104601609	104601906	+	0.133735242033934	1.7641244372341e-09	FTMT24700031393.1,ENCT00000095402.1,ENCT00000095404.1	1	1	ENSG00000171310.6	NA	CHST11	TRUE	beige	beige&white	2
clu_11348_+	gencode	chr12	116911355	116928023	+	-0.130079207541959	0.035371664052966	ENST00000652555.1	1	1	FBXW8	protein_coding	FBXW8	TRUE	white	beige&white	2
clu_11348_+	gencode	chr12	116911157	116928023	+	0.148326175921753	0.035371664052966	ENST00000455858.2	1	1	FBXW8	protein_coding	FBXW8	TRUE	beige	beige&white	2
clu_11517_+	cryptic	chr12	132710160	132714858	+	0.187537584475587	4.06802327919787e-10	Unknown	NA	NA	NA	Unknown	NA	NA	beige	beige&white	2
clu_11517_+	gencode	chr12	132711067	132714858	+	-0.268806776406265	4.06802327919787e-10	ENST00000317555.6,ENST00000498926.7	1	1	PGAM5	protein_coding	AC135586.2,PGAM5	TRUE	white	beige&white	2
clu_11551_-	gencode	chr2	3534255	3536724	-	0.100486318779661	0.0152192285561512	ENST00000654051.1,ENST00000422961.5,ENST00000438482.1	1	1	AC108488.2,AC108488.1	nonsense_mediated_decay,lncRNA	AC108488.2,AC108488.1	TRUE	beige	beige	1
clu_11559_-	refseq	chr2	8680587	8681827	-	0.135393305122234	0.0198784522362262	rna-NR_110153.1	1	1	ID2-AS1	NA	ID2-AS1	TRUE	beige	beige	1
clu_11822_-	gencode	chr2	39755960	39761331	-	0.102642465661516	0.00134723735730107	ENST00000530522.1,ENST00000505747.6	6	6	THUMPD2	nonsense_mediated_decay,protein_coding	THUMPD2	FALSE	beige	beige	1
clu_11888_-	gencode	chr2	54987698	55010087	-	0.306029829838343	7.94065389842016e-66	ENST00000394609.6	1	1	RTN4	protein_coding	RTN4	TRUE	beige	beige&white	2
clu_11888_-	gencode	chr2	54987698	55049745	-	-0.244368148981448	7.94065389842016e-66	ENST00000317610.11,ENST00000402434.6	1	1	RTN4	protein_coding	RTN4	TRUE	white	beige&white	2
clu_12026_-	gencode	chr2	72179461	72184075	-	-0.147763467987381	9.62393390297639e-08	ENST00000272427.10,ENST00000490919.5,ENST00000471335.5,ENST00000492257.1	2	3	EXOC6B	protein_coding,lncRNA	EXOC6B	FALSE	white	white	1
clu_12209_-	gencode	chr2	97086198	97090109	-	-0.138408634310365	7.22590868328073e-05	ENST00000414820.5,ENST00000272610.3,ENST00000463096.5	2	2	FAHD2B	protein_coding,retained_intron	FAHD2B	FALSE	white	white	1
clu_12280_-	gencode	chr2	108512012	108533829	-	-0.10330796297272	0.00748404315044194	ENST00000322353.3	1	1	GCC2-AS1	lncRNA	GCC2-AS1	TRUE	white	beige&white	2
